MULakeNumber,waterBody,landcover,Sampling Latitude,Sampling Longitude,Ecoregion
91,Atkinson,No,38.0068,-94.0499,Central Dissected Till Plains
3,Bowling Green (East),Yes,39.3415,-91.1529,Ozark Border
18,Capri,Yes,37.8989,-90.6283,Ozark Highlands
36,Clearwater,No,37.1367,-90.773,Ozark Highlands
39,Council Bluff,Yes,37.7291,-90.9096,Ozark Highlands
57,Deer Ridge,No,40.1804,-91.8285,Central Dissected Till Plains
96,Fellows,Yes,37.3144,-93.2279,Ozark Highlands
114,Henry Sever,No,40.0069,-91.9762,Central Dissected Till Plains
121,Higginsville,No,39.0621,-93.6699,Western Corn Belt Plains
115,Hunnewell,Yes,39.7084,-91.8629,Central Dissected Till Plains
149,Lake of the Ozarks,Yes,38.2065,-92.6313,Ozark Highlands
5,Lincoln,Yes,39.0213,-90.9201,Ozark Border
117,Little Dixie,Yes,38.9073,-92.1227,Central Dissected Till Plains
110,Little Prairie,Yes,37.9955,-91.6916,Ozark Highlands
48,Long Branch,No,39.7543,-92.5136,Central Dissected Till Plains
145,Mark Twain,Yes,39.5222,-91.6492,Ozark Border
70,North,No,38.6873,-94.3586,Central Dissected Till Plains
92,Pomme De Terre,Yes,37.8977,-93.3165,Ozark Highlands
118,Raintree,No,38.8351,-94.3837,Central Dissected Till Plains
112,Shayne,Yes,37.8983,-90.6432,Ozark Highlands
93,Stockton,Yes,37.688,-93.7646,Ozark Highlands
98,Table Rock,No,36.5988,-93.3183,Ozark Highlands
89,Truman,Yes,38.2687,-93.4087,Ozark Highlands
30,Wappapello,No,36.9343,-90.284,Ozark Highlands
